GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Busstop Service Implementations,com.bgbus.tracker.busstop.service.errorcodes,ErrorCodes,21,0,0,0,6,0,3,0,3,0
Busstop Service Implementations,com.bgbus.tracker.busstop.configuration,BusstopConfiguration,0,99,0,0,0,26,0,17,0,17
Busstop Service Implementations,com.bgbus.tracker.busstop.service.healthcheck,BusstopHealthChecker,15,3,0,0,5,1,1,1,1,1
Busstop Service Implementations,com.bgbus.tracker.busstop.configuration.controller,BusstopController,18,23,0,0,1,3,1,3,1,3
Busstop Service Implementations,com.bgbus.tracker.busstop.service.store,BusstopEntityStore,7,21,1,1,1,5,1,3,0,3
Busstop Service Implementations,com.bgbus.tracker.busstop.service.cmds,AssignBusstopAction,12,3,0,0,4,1,1,1,1,1
Busstop Service Implementations,com.bgbus.tracker.busstop.service.cmds,ResolveBusstopAction,8,3,0,0,3,1,1,1,1,1
Busstop Service Implementations,com.bgbus.tracker.busstop.service.cmds,CloseBusstopAction,8,3,0,0,3,1,1,1,1,1
